airline_sentiment,text
positive,deltapoints hey least guy honest customer unlike delta
neutral,first time flyer schedule roundtrip set departure date sure return date policyfees change flight
negative,send screen shot incident report
negative,couldnt fly today amp make trip harder pay checked bag devotedyyours today
positive,oh worry nl disappointment well lounge like delta disappoint
negative,flight mco isp delay detail
neutral,flight october available
neutral,ceo discuss possibility nhl vega arena name right httptcoteshxng smusportmgt sportsbiz
positive,thanks get back nashville big thanks pilot baltimore fly snow land ice
positive,last night thanks follow
positive,win always save day get direct orlando partypopper partypopper partypopper
neutral,possible carryon put closetoverhead success airline thanks
neutral,hi add flight account create
positive,deicing important
positive,thank finally make boarding pass work passbook
neutral,delay today cakairport orlando
neutral,winner destinationdragons
neutral,thanks remind upcoming trip florida really didnt need httptcoprrtow
neutral,today go day feel thank yall support throughout come home nashville octavia
positive,love appreciate fact guy rarely cancelled flight flight time need cancelled flightlation time foldedhands
negative,flight fll kiosk open rude attendant everyone late flight httptcobohmhcb
negative,website downnnnn ugh
neutral,courtsnod hopefully nashville open want come home today
neutral,southwestair hi get solar charger amazon game changer plug usb charge
negative,please tell ill make flight tomorrow ive tryin day leave
negative,bad experience last week break bicycle bring bike ride fla
negative,tinaisback im sorry frustration get rebooked sw ive rebooked time still stick smh
negative,minute still wait ski unloaded ashamed morning
positive,neveind find way thanks make process painless
neutral,service promotion moment modelodenegocio innovation innovacion businessmodel
neutral,bag late flightchecked put different flight oakgtmsy trouble track help
positive,johnwayneair thank much
positive,official airline divadapouch aka thepoopqueen httptcoxxydimnp
neutral,im try get home nashville ive stick dallas day flight get morning
positive,able change flight without fee oh two free check bags best airline ever
positive,wonderfully nice agent austin help u wish remember name give proper kudos
positive,hot stewardess flip
negative,bag tv show film
negative,schedule morning day fact yesnot sure evening flight one cancel flightled
negative,update minute pilot turn ac longer freeze enjoy wait reload bag
neutral,snow forecast raleigh nc tomorrow night need know there plan reschedule flight rdu wednesday night
neutral,need help reservation
negative,seem odd sit plane get delayed find txt emp work aircraft
negative,really enjoy sit bwi door wide open ac fix baggage error sarcasm
positive,flight phi den staff great crew freecomedyshow newlifetimecustomer
negative,engadget theverge wire reddit
negative,male flight attendant must play game call big dick people flight chimid
negative,youre hold southwest hour automatically hang iusedtoloveu httptcotefhpuwmdj
positive,best customer service
positive,big thanks team family emerg day ticket experience excellent st time fly yall last
negative,rd cancel flightlation day due weather nashville trip airport time communicate late flight sw
negative,leave ipad flight erw den open claim many memory plz help get back
negative,yes dale baggage office wonderful everyone page hour wait
negative,one want commit say plane get cancel flight customer relation closed patience go
negative,try leave monday plane leave mine one keep get delay miss work pay cab
positive,total win happy th bday intercom chocolate flight kiss chance hand snacksthank httptconklozcntto
negative,luggage still find luggage scan final destination way know
positive,thanks excellent response time assistance set
negative,finally get hour set thanks
negative,disheartening experience familyand lot taxi money waste
positive,cant wait thanks response redheart
positive,get cover thanks
negative,please help hold forever check flight
negative,sister family drive mile accommodate rebook timely manner horrible
negative,cant believe many pay customer leave high dry reason flight cancel flightlations monday bdl wow
positive,thank help resolve problem shannon rock even though rhonda didnt
positive,thanks see happen
negative,appreciate rude doesnt solve much least cover cost steal good
neutral,u good define plus one small type item carry requirement small backpack
negative,youre blow customer service shotwest airline
positive,glad finally resolve bad cant get free voucher go mine friend travel next time
negative,make standby flight cancel flight reason almost hr late flight conf fvfyw swrr
neutral,im flight book problem flight vegas good promo code
negative,frustrated customer serviceopen seat early flight change rip
positive,good go make boston time im actually wifi right
negative,please start act age stop shortshorts
positive,thanks assistanceyou guy rock hundredpoints
negative,self help way put tsa pre check number exist reservation annoy reachable
negative,wont let leave newark
positive,hey yea get thrueverything good well day voucher go appreciate
negative,nashville drive half hour memphis make plane load
negative,accord tv passenger interview landing far uneventful heavy panic breaking
neutral,outline policy scenario
neutral,contact miss rapid reward credit
negative,chance cancel flight flight nashville
neutral,travelportland welcome portland sun mt hood southwest httptcoysahvxzk
negative,airline cancel flight flight bna strand philly day hop get
negative,helpful try get nashvilleshould waive change fee
neutral,still havent able get thanks respond
negative,thanks tell couldnt hour ago plane leave try stick wait hour
neutral,winner destinationdragons announce yet
positive,flight today rsw grr able snag free sw agent check look like finally set
positive,yeah figure thanks
positive,thanks drink ticket hook cant wait first international flight nas pumped
negative,take carryon bag essential attire life change interview tomorrow amp expect compensation
neutral,get rebooked tomorrow
positive,hi saw black history month commercial tv amp im excite support monthwill grant free trip
negative,take bos bwi plane flight stl promise replacement hour late flightr hour delay happy
positive,though work another major airline love black history month commercial thank
negative,large group majority bag soak
positive,black history commercial really sweet well do
negative,even voucher pick bag
negative,first interaction people morning bad weather sorry wont fly
negative,yeah tell would next flight drive wasnt drive second time
positive,much respect
negative,let dm
neutral,imaginedragons gon na know math test tomoro cant concentrate loudlycryingface loudlycryingface destinationdragons
positive,thank thankful feelingtheluv
negative,im pray get home alive
negative,hope youre happy officially become next americanair profitbeforepeople imo bankrupt
negative,whats delay throw priority board way amp ill forgive thumbsup southwest southwestairlines
positive,get add thank
positive,great thank best luck deal horrible winter
positive,thank
negative,need flight info add rapid reward flight first time fly sw wont mad
negative,keep get disconnect choose option unused travel fund automate customer service line so
neutral,flight nsw departs mco enroute indianapolis international airport httptcoqefkfwzod
negative,old miss connection sleep oak get hotel dime rub wrong way wasnt late flight
negative,fine moment boston right
negative,bag st woman say would next flight ive get nothing big wig help
neutral,use point book rental car
negative,thanks think straight
positive,thanks take care today michele rock customer service gate hou
negative,pay rental car go rd day
positive,thank
negative,thanks expect wait long
negative,understand weather issue time cancel flight reinstate cancelled flight hardly update nothing
positive,mother nature best effort southwestairs goodhumored folk get u home safely area heavily affect winter storm
negative,sadly didnt get much help travel agent disappointing
negative,bos msp msp aus au bos site doesnt seem display field middle trip add rd
negative,able rebook another flight drove atl catch flight charge get group
negative,bad customer service earth never fly airline
negative,flight yesterday cancel flighted get airport today time flight w delay cancel flight reinstate cause
negative,flight nd departs mco enroute noairport httptcofdsnvkiem
neutral,flight look tomorrow morning nashville bna fort lauderdale fll
positive,awesome thanks
negative,poisonpill im boat flight jacksonville get
negative,im concern cancel flight flight bna tomorrow
neutral,think flight bna lax get ground tomorrow please snowbama
positive,really appreciate follow always fly yall reason
positive,piece find safely deliver home afternoon
negative,stop ur b promos airplane anywhere start click everywhere id fly place thats cle nothanks
neutral,contact know change destination really evaluate thanks
negative,know one thing delta would never treat customer like
negative,yall try fly chicago dont live send home bullshit as customer service
negative,flight cancel flightled one week customer service pileofpoo pileofpoo pileofpoo pileofpoo
negative,flight cancel flightled yall im sick angryface angryface
negative,poor customer service thru cxl flight pensiveface shouldve flew delta
negative,whats yall corporate number bc yall try accommodate
positive,el paso dealsmay redheart redheart redheart smilingfacewithhearteyes globeshowingasiaaustralia
negative,cant checkin online flight tmrw fr cancun undefined error amp workingfamily dont want cgroup help
negative,anyone ever answer phone poor
negative,min departure announced update update time status everyone stand comeon
negative,get kind update delayed flight boston houston really need back home tonight
negative,matteboss long hold waited minute give
neutral,know hard predict flight dallas nashville tomorrow
negative,plan make southwest app android crappy
positive,thanks ill keep check im try book first disney world vacation
negative,thanks take good care luggage httptcopivxeanjy
negative,yeah rebooked tomorrow hop rd time charm cancelled flightled flight
positive,thank know yall cant control weather appreciate yall work get flight rebooked last two day
neutral,iiiii need help flight schedule haha
negative,make premium wifi pay decent slowfi
positive,timeand time next flight thursday
negative,extremely disappointed poor customer service provide cancel flighting flight today unprofessional
negative,help nice lady phx checkin spend hour hold hour might want look efficiency
negative,tell last time would never fly really mess today thanks flight bad airline ever
negative,do mess plan trip costarica penny vacatime airplane seat
negative,sorry sit plane hour wait engine fix get luggage lose k
neutral,flight tomorrow wed denbna delay cancel flightled
negative,show one flight one way try go home page book roundtrip theres nothing available
neutral,fly tomorrow please dont cancelled flight lol facewithstuckouttonguewinkingeye airplane
positive,worry would rather safe ground take chance yes tomorrow bna reopen smilingface
negative,need help cancel flight flight back call time ridiculous
positive,fattuesday great job celebrate mardigras today atlanta airport another reason im nut httptcowbzorrnc
negative,customer service terrible youre terrible thought know
neutral,winner destinationdragons announce
positive,awwweesssooomee
negative,pt expire make prchase online retailer b tell sw wont show wks l keepmy pt
neutral,guy must swamp even take corporate travel long time get everything work end
neutral,tremendous job atlanta airport saw sw celebrate mardi gras another reason im nut guy httptcowbzorrnc
negative,officially bad customer service airline ive ever deal southwestairlines poor
neutral,think need follow dm
negative,fast response day hour phone never get hold hour line never get flight book problem desk
negative,rebook atlanta amp drive nashville pay ridiculous price difference bad weather good business
neutral,expect open reservation november
positive,amaze customer service well definitely fly guy instrument involve
neutral,go fly nashville deicer short plane tomorrow morning
positive,social medium team say sorry thankfully submit complaint get resolution amazing rep call
neutral,im schedule come back tomorrow finally dont know swa hasnt fly flynashville yet delta
negative,flight cancel flightled wife stick phoenix way slc san thanks lot southwest
negative,never get cancelled flightlation text morning either bushleague number call weakservice
positive,know whats blackhistorymonth commercial another thing add reason fly southwestairlines
negative,late flight
neutral,u get flt instead rt
negative,seriously wtf nochill httptcoesdxdvr
negative,yes couldnt explain hour minute hold time
negative,mcogtdca flight almost full people screw msydca cancel flightation united usairways didnt cancel flight swamistake
neutral,take electric skateboard domestic flight policy list site regular board apply
neutral,dm
positive,employee great
neutral,confirmation number new reservation fpmy travel year old please email jennifercascinogmailcom
negative,charge station san
positive,thanks reply something phone becuz drop call hour hold get ring
positive,thank voucher long wait runway saturday night bwi really appreciate swfan
neutral,need song next commercial httpstcojurhzrqc swa love
positive,jh thank finally get second time
negative,need fly gsp dsm claim theres sched avail book separately together
negative,thank hang hr min hold would like dm contact info
negative,checkin system poor
positive,haha thanks explanation
neutral,employee spread bit mardigras cheer morning atlanta nftyconvention httptcottbtyilo
negative,trouble check please add dm
negative,wifi yesterday flight extremely slow waste lose travel time work
negative,flight cancel flightled monday look cancel flight credit card thats
negative,still ground gtmins plan departure california weather originally tell min delay
neutral,understand wonderful miriam customer service able reroute get rental car discount
negative,yet suppose get early even tonight dont want go store buy new necessity
negative,possible call swa phone put hold hour cut
positive,gf yrs shes sf amp live tulsa swa always take see love southwestluvsweeps
neutral,hi get know traveler would like add flight already purchase whats best option
negative,nashville airport runways open appear southwest airline cancel flighting flight likely change
negative,phone hour waitingcan please answer thank notcool
neutral,tomvh get rr credit card get point family way
positive,send thanks vp
neutral,tsa pre boarding pas mean httptcohmmqczkcf
negative,shes still strand dc sit kid starve exhaust
negative,flight pilot spill tea radio yay delay almost hour
negative,send
neutral,hahayeah make joke
positive,thank much step game make day night elevator music much appreciate
negative,use love keep reschedule flight southworst
negative,start ive already waste hr phone wait time already
positive,talk customer service unite make appreciate even could learn much
negative,brother amp girlfriend flight cancel flightled time leave hour late flight drop letter grade school help
neutral,thank email rr pt amp gain wasnt clear mine r go anything u appreciate
positive,thanks response able get situation resolve fan mother nature today
neutral,way add known traveler number exist reservation online
neutral,need offer college student discount fly home loudlycryingface loudlycryingface
negative,cancel flightled flight bna flight bna mdw tomorrow strand den ive hold day
positive,thanks think weve get figure
neutral,lga san diego
negative,miss point one account theyre spread four assume create account
negative,right point kid dont fly often buy four round trip ticket dtw phx im
positive,get flight thursday look something tomorrow anything available
neutral,desparately need yall make nonstop bnagt tul cmon itll popular smilingfacewithopenmouthsmilingeyes right annebevi paulbev mikeabramson
neutral,thank response get get point onto reward account
neutral,try dm wont let say follow
neutral,chance flight leave bna tomorrow lga
positive,get square away thank man inside help
negative,please pm number lodge formal complaint thx
neutral,send dm detail
negative,good thing notice rerouted total passenger impossible triple connection well
negative,gate agent rerouted impossible itinerary find new airline get u home super bum
negative,auto callback dont wait hold
negative,receive email wresos email isnt associate swa account cc info sister fraud please dm
neutral,thank
negative,onboard wifi bad take minute send tweet work table disappoint
positive,another great flight amp crew las vegaschicago thanks
negative,recommend upgrade ivr use call back email texting know caller
negative,entire flight luggage miss dca hour nobody know anything
negative,cbssoxfan get hold call twice kick offcalls phonedied alistpreferred httptcotzzvbmbs
negative,airline fly bna today
positive,finally get thanks
negative,spend minute count hold w today first minute give try amp rd min
negative,ive airline everyone else great sour whole experience hope shes next time
positive,thanks get put flight tomorrow dont much faith itll get ground tomorrow though
negative,think im shot cant find flight arrive business san thu really want go
negative,woman work counter philly need fire due bad weather along passenger
negative,earlier reflight book problem flight im didnt get screencap say unspecified error call swa
negative,buy early bird pointless move diff flight bc first one delay lose boarding position
negative,problem website try make change w app site get unspecified error
positive,paytontaylor love southwest payton taylor
neutral,rdu flight expect ok afternoon tonight
negative,super disappoint today first time weve stress book flight another airline airport
negative,put next flight available tomorrow morning idea bna open morning flight
negative,hey swair tortured boarding flight due one gate agent board assist folk one time
negative,understand delay stick plane long flight unacceptable
neutral,absolutely send
positive,worry youre best u already cancel flighted biz trip still luv rr
negative,year fly never piss many incident one flight
negative,hear apology time gt mins hold fly another airport different time delay
neutral,happily need follow order dm
negative,willmake sure tell everyone know around horrible experience also post business page
negative,currently im bring year old bathroom im rush flight attendant
positive,worry get thru eventually curious best luck deal weather
negative,terribly inspire call customer service future
negative,also say couldnt even book flight put hold amp someone else
negative,person talk couldnt anything normally available online charge part
negative,someone help set callback today
negative,cancelled flightlations link rebook like initial storm issue
negative,really guidance call via phone back log could do online minute
negative,rebook flight board bham
negative,please send number call talk person put hold
negative,flt buf mco conffgkxv please also look reimburse car count cancel flight
negative,almost hour hold need cancel flight flight get refund airline operate
negative,need accommodate loyal customer happy
positive,yes thank oct oct
negative,bernhardtjh eventually get flight cancel flightled decide drive give hold process refund
neutral,already rebooked tomorrow finger cross
neutral,follow
negative,bad customer service terrible attitude dont care big storm employee need attitude adjustment
neutral,could send dm
neutral,follow dont think dm follow
negative,flight cancel flightled bna reschedule travel fund put back account future use
negative,kid need help yesterday im landed wait connection never fly southwest
negative,bag back ding
negative,yeah bruh bool yall niggaz need hire worker something cause next time imma force ta disrespect
positive,always fly sw loyalrrmember
positive,thank someone finally answer able change flight cancel flighted bc ice thank response
negative,try add dog flight cant get
negative,need request refund flight cancel flightled morning due weather
positive,thanks ton
positive,luv ya sing song yall finally get plane back nashville lovesouthwestair
neutral,hi thanks exact link specific page site share flight status thx
neutral,notpghtimothy exception national award
neutral,idea flight nashville tomorrow clear cancel flightled
positive,sale im delight
positive,time thank
positive,finally integration w passbook great valentine gift well chocolate flight heart
neutral,gruber finally
positive,guy awesome dontchangeathing luv
positive,karen customer service helpful thank provide one bright spot frustrating situation
negative,twitter say cant dm someone unless follow southwestair follow twitter thanks
negative,thank twitter say cant dm someone unless follow southwestair follow twitter
neutral,sell
neutral,others
negative,follow flight cancel flightled cant rebook online hold hour would love dm flight info thank
negative,also find ridiculous ive tweet since est still receive response hour
negative,thanks yes get big frustration im longer able check online flight cancelled flight
negative,flight still get logan couldnt manage get one wasnt snow
negative,min wait phone option callback finally hang phone die customerservice
neutral,land early morning bwiairport snowfall httptcoaprzspxige
positive,thanks
neutral,sure fhkte schedule leave weekend need push october
positive,good flight eventually take land safely oh get free cup wine thx
neutral,notice rate increase day ago promotion end idea another promotion come thanks
negative,flight nashville today kid airline fly youre frustrated
neutral,say yall sell amp coworkers would need get first available
negative,im try change family vacation due measles outbreak havent able get anyone phone help
neutral,frzz
positive,youve get mess dtw staff great
negative,challemann fly lga dead winter jvstatus ewr amp jfk always intelligent option
positive,great job passbook integration itll really help streamline commute san fran smilingfacewithsmilingeyes hotbeverage mobilephonewitharrow airplane
negative,need reschedule flight ive hold almost hour ridiculous best number call
negative,condescension must quality co reward tone reek
positive,great job look forward next trip able use new feature
neutral,update flight bna today
neutral,damn weather mess everything serenitynow
neutral,could tell upgrade available flight stl tomorrow morning
negative,disappoint customer service right flight one cancel flightled airport amp im lose day trip
negative,hold hournot cool guy
negative,ive hold hour amp half try change flight bna happy customer service right
neutral,get thank insight happen tomorrow
neutral,chance add laxgtjfk direct time future
negative,thank give reply year ago direct area learn improvement
negative,disconnect call hour without even speak octaviannightmare
negative,injure check yesterday u tell go dr hold swa hour try talk someone suggestion
negative,try get phone confirm fund cancel flightled reservation still use future u help
negative,consider add well call back someone free feature support line
negative,ive hold customer service hour help
negative,ive hold hour type ridiculous need link chart route time
neutral,send
negative,flight cancel flightled reflight book problem online work second round hold hr option
negative,kudos rsw c crew rerouting pax alleviate sale due graded eqp
neutral,try fly nashville tomorrow look
neutral,think flight nashville cancel flighted tomorrow
negative,try get customer destination help get another airline flight day
negative,im alist preferred customer loyal swa however inflight wifi good today year ago
positive,thank
negative,bad im get memo reservation contain modification prevent change online fusturated
negative,almost hour hold hour life cant get back thanks httptcoiyuzmpuvs
negative,discount three delay
negative,try online tell must call bc modification reservation hold almost hour
positive,twitter outstanding customer service thank
positive,finally
neutral,try get cust relation another use
neutral,fly may rd plz advise
negative,bad customer service airline ive ever fly
negative,need update flight amp hold hour
negative,himy flight bna lga cancel flight morning look like flight bna take chance
neutral,link article say route time route likely like tuldal pm none
neutral,mobile board pass available io passbook httptcoxmrvrlgeg httptcowjocfsutorileggieri
negative,cancel flightled flight bna today hold hour angryface frustrate
positive,beautiful thanks ton
negative,try rebook online say pay difference price please help
negative,im show flight delayed would boarding pas still good seat give away
negative,cant update flight online bc cancel flighted twice already go hour hold
negative,guy real ive hold hour include one hangup please someone reach get back
neutral,kind early idea date first week sept come available
negative,last time ive arrive lasairport gate block slow depart plane lead min delay
negative,hold gt minute cancelled flightled flight still talk anyone flight soon give
negative,hop answer phone today
negative,husband hold hr get disconnectednew wait min cant confirm re due fact book line nut
positive,thanks yall expect operational tomorrow nashville
negative,guy jack price say price go lower smh
negative,hold hour hang cancel flightled flight run daycare kid trap home
negative,really unhelpful cant rebook online httptconosvli
negative,allow passenger harass u gate agent mistakefurious nothing amp yo scar
negative,flight cancel flightled wont let rebook online wait time phone long please help
neutral,guy weve get something inability check online international flight
neutral,temporary site glitch longer offer flight grr geg feb cant find online
negative,wont answer phone horribleservice neveragain frustrated answerthephone
negative,stick sju several hour one answer really tough luv sw response bad
positive,nice work update
negative,guy hour phone hold bc volume short staffing
negative,cool bag take bit longer dont give baggage blue ballsturn carousel tell come
positive,yesterday way ewr fll takeoff wheelsup jetbluesofly httptcoxkiykqj
neutral,hope fly often would hate change airline
neutral,flight savannah ga
negative,werent flight come late flight jetblue employee inform u
negative,everyone pilot find last flight plane dirty clean area amp seat
neutral,update flight would appreciate time thanks
neutral,check dm please
negative,hey guy last flight earn pts httptcosywlmtzek
negative,aisle empty evermoreroom seat cant move bc didnt pay nonsense waste jetblue jetbluebos cheap
negative,marty st george really zero clue still job nobaggagefees httptcotjdzamhpew
negative,book tomorrow high st reservation pgfryz get standby list tonight would help
neutral,submit hop quick decision tie another donation receive proposal th annual gala org boundless reader
negative,cancelled flight flight push next day id lose hotel try get sameday flight
positive,thank information
neutral,know suicide second leading cause death among teen
neutral,ok dominican republic number
negative,ive try phone laptop
negative,cancel flighted flight go another airline leave day cancel flight also call jetblue amp get flight goblin
neutral,sale please soon need tan
neutral,yeah im look specific date keep check daily fare drop
neutral,hello good afternoon need know much flying summer june th
negative,wonder website issue today try book flight visa always use rejecting
negative,upset lack communication weve receive time flight mco
neutral,date destination im head pensiveface
negative,ive spent three hour talk different people couldnt help probably wont use jetblue
positive,great
positive,thanks great recap wouldnt able sleep nervous bad guy get away winkingface
neutral,fly w infant st time bring canister powder formula carry andor use plastic formula divider
positive,flight proud fly jet blue
positive,awesome thanks hold
neutral,im sure anything help thatd great
negative,call back five time get someone phone know time getaway go
negative,really flight bay area chicago anymore lame lame
negative,cant book flight outdated forced optin verify visa nonsense help girl want get sxsw
neutral,stop try make fleek happen pointsme
negative,luggage fee wont b fly jb least aa give platinum pas bag tire overchging bg herd like cattleslaughter
positive,chance actually fly charleston today cold rainy weather south place
positive,see work pick trip two type
negative,poop barely work
positive,thanks quick reply want make sure wasnt account
negative,wifi lie hate
negative,issue website log app know enter info correctly sign
negative,trouble sign trueblue today despite right credential get able sign msg
positive,wouldnt mind pay snack tix great job guy
neutral,flight boston delay due weather tampa
neutral,baejet airway amirite jetblue terrybrokebad right back ya
neutral,askamex amex plat holder provide access credit airspace lounge jkf
neutral,many thanks always employee professional courteous whenever option goto airline
neutral,come provide service destin fort walton beach airport
negative,appreciate credit trouble lack personal response trouble
neutral,youll enjoy jetblue fleet fleek httptcothcrkurt
neutral,yer deal never seem include nycgtpdx nycgtpghwish
neutral,airline trouble winter amp get good customer service contact httptcoaqjnhwnac negotiate resolution
neutral,thank head lbc oak
positive,go napkin pretty much say httptcooxyjnpjm
neutral,fleet fleek httptcobttnoxu seenoevilmonkey
positive,ruthslobodin wed sure love see ruth justdoit youknowyouwantto know well heartwitharrow
neutral,love youll never work day life smilingfacewithsmilingeyes
neutral,drop take two people vice versa back forth
positive,dont need cut service charge give good fly experience thats use jet blue first place
positive,longing look blue eye firstlove
positive,best flyfi ondemand leatherseats hipunis legroom
neutral,jetblue fleet fleek httptcownlaybl
neutral,please start fly guyana soon
neutral,leave certain thing kid
positive,wowthx thinking u greg heard sobewff amaze weve hear jetblue p thx info teamnkh
positive,annnndddd book flight easy
negative,thank credit however submit complaint property vacation package hope listen
neutral,fleet fleek httptcoclupdprhp
positive,thank much
negative,need help im move dc amp want book one way fare website wont seem let miss something
positive,glow crew aircraft sparkle guy know nokidhungry right might good partnership
neutral,jetbluecheeps friend buy ticket last night one route cost way help
neutral,return foodnetwork sobewff limit carry space tummy next flight ill try snack
positive,glad like feel free steal
positive,blue help bring color eye promise didnt eat free snack
positive,thanks customer like stay loyal check land
positive,pulling gate sunrise bostonlogan morning jetbluesofly jetblue airbus httptcojgduusdz
positive,thx quick response yep try cant find flight input confirmation
positive,wish everyone felt like
positive,sound great thank
negative,upon sale include btv usual jetbluehatesbtv
negative,cant link flight last week trublue account num isnt answeringdont make fly delta dont
positive,nice see veteran advantage program gate sunday mcokeep good work jetblue
positive,incredible pr team clappinghands clappinghands clappinghands clappinghands
positive,thanks im find low fare already carrier direct flight july
negative,get u flight vieques good right look promise
negative,dmd
neutral,offer special fare gopuregrenada discovergrenada httptcombcehcszx caribbejan islandexpert httptcozmjkalzl
neutral,believe website say could receive credit upcoming flight since cancel flight last one true
neutral,month ago flight book cancel flight im flight book problem separate flight different occasion
neutral,hi friend question moment
positive,jannasaurusrex thanks kind word janna weappreciateyou trueblue im feel like bos jetbluefame
positive,board back airplane first like bos sosmart jetblue frequentflyerappreciates alsoyayforsnacks
positive,sooo earlier say couldnt fly school trip smirkingface
negative,flight delay buffalo direct flight plane gate
negative,miss connect transportation puerto rico result need get vieques today
negative,suppose vieques pm
negative,customer service today deplorable plenty way u could get u flight badcustomerservice
negative,absolutely missed connection cause u miss ferry vieques get u vieques also flight voucher prbound
neutral,hi rough idea january flight make available
negative,send njb uvf today weekday weekend
positive,always amazing jetblue trueblue httptcoiimtjxcvlg
negative,ive experience good service make connect flight united americanair badcustomerservice jfk pr
neutral,gate main terminal dca natca member keep watch atct avgeek httptcohpsieaokwh
positive,great land jfk
negative,service get bad bad plane cant fly wait nd aircraft much plan
positive,haha ty know time lane open logan
neutral,flight njb jblu arrive flytpa follow flight westchester county airport httptcoxxmjxqep
negative,seat assignment min flightline people deep guess im sit baggage marinadomine
neutral,go nd round trip ca week trueblue
positive,sure blueheart
neutral,want custom long beach airport future international flight ericbradleypt httptcojhbjdver cc briansumers
negative,bad fly experience ive ever suffer id appreciate money back
positive,second call customer service fifth person talk amazing rep fix min persistence
neutral,jetblue fleet fleek httptcowezumdimyf
positive,thanks much
negative,wife send family invite never accept lock family account never get create
neutral,hey guy tail number assign yet flight tomorrow
negative,spend hour phone customer service find cant help need help family pool asap
neutral,ready get jetblue red eye go soooooo sleepy noplacelikehome eventhoughitsdegreesathome
negative,customer service say since wife setup family account cant join mine year help fix please
negative,full capacity also pid extra seat perhaps crew could helpful
negative,twice say cant dim light first flight
neutral,maatkare hope youre still bae tatianaking thewayoftheidhaa man
neutral,domestic want idea dont get surprised
positive,make two u lol blush
neutral,would storage container like green one acceptable check luggage gal tote httptcomjtksfuhg
positive,happy anniversary hard believe youre youre young
negative,jfk nyc staff amaze lax jetblue send email detail disappointing experience jetbluecheeps
positive,super smooth flight landing nicely do
neutral,try harder take winner attitude work
negative,good good passenger flight jfk pwm
negative,would air new plane weve redirect mechanical error aka delay
negative,delay flight redirect gate tell stick original gate would
neutral,fleet fleek httptcovxnjmv happen
negative,definitely note whoever stole
negative,hour policy call say didnt report soon enough would change notice sooner
negative,hopefully help someone future would different procedure discover theft sooner
negative,soon realize try figure steal people bag security camera anything
negative,since strand syr without ride miss window opportunity right matter hour
negative,absolutely worry im never fly ever even hitch hike cross country passengersarepeople
negative,dont lose luggage
negative,direct mobile website direct link get together
negative,make many mistake short period time would lose job point
negative,understand ur someone travel hour get early relax b flight etc adv notice maybe
negative,one four flight trip time hell company problem
neutral,madness rt jetblue fleet fleek httptcoxusbjfv
neutral,cant find good photo get one goodnight
positive,fyi im onboard comfortably travel jfk seat problem say thanks make fly civilized
positive,like follow jetblue
neutral,
negative,datingrev mco lag two hour delay sit tarmac go minute infant cry plane get u plane
negative,maintenance flight land jamaica go security get term clean board
negative,thats answer
neutral,ask ask pilot tell name aiecraft
neutral,airport code test go slc bos mco
neutral,fleet fleek httptcobbmpabort ltltnow fuckin funny facewithtearsofjoy
neutral,flight lie flat seating stl pdx around date march
neutral,formally request lbairport longbeachcity establish custom facility international flight httptcojbyvmsod
negative,start nytimes rt jetblue fleet fleek httptcoatdsmhf
negative,navigate rebooks due flu amp ice visit mother c rep helpful patient friendly
neutral,flight charleston tomorrow ontime possibility delayscancelled flightlations
negative,well plane land international terminal announce pm new time
negative,seat wait hold minute gonenow stay another night charlestonvery pricy
negative,ok cancel flight flight tmrw weather amp rebook flight next day flight tmrw night compensation
negative,guess werent able anything improve time look even late flightr go zombie tomorrow
neutral,jetblue fleet fleek httptcokwuekukbc
neutral,plan repair brand httptcouimypzh via wsj
neutral,ok hope thy bahamas next
neutral,fleet fleek httptcoxmavgw httptcoelatntcir
positive,try make look bad website say due weather charleston nc actually sc nc
neutral,people work contact project work
neutral,chging flight isit possible pay fare difference dollar ticket buy completely via point redemption
negative,home guy recover laugh extra day barbados open cuba soon
negative,one look must get old damn
neutral,yeah rt jetblue fleet fleek httptcoftvnwwqf
neutral,guys fly froward bahamas
neutral,fleet fleek httptcomwsgolgo
positive,btw thanks respond quickly
neutral,weird pick city test workednot one want work phone though ill use
negative,flight tomorrow morning cancel flight amp cant seem rebook cant even get seat clear answer cancel flight
neutral,im gon na deny rt jetblue fleet fleek httptcoenxvrkbu
neutral,door rt jetblue fleet fleek httptcodsdebodmel
positive,find camera thank rock
neutral,fleet fleek httptcoghabyep smh
neutral,jetblue fleet fleek httptcotqctkci
neutral,wut jetblue fleet fleek httptcomuwcpxtxj
neutral,someone stop rt jetblue fleet fleek httptcolchvjolidg
positive,please rt jetblue fleet fleek httptcoeulsdurbu
neutral,shut door way persongesturingno
negative,transfer trueblue point within family pool member cost set contributiontopool already
positive,gotcha thanks update im ready go whenever enjoy evening
neutral,nonprofit arc would love ticket rely airline extraction save abducted child return home
negative,gotcha lessen delay part happen right
negative,agency cant nice thing jetblue fleet fleek httptcoqrxzbgbtq
neutral,rt wmcactionnews new airline expect make way mem httptcogbdrolsi
neutral,rt wmcactionnews new airline expect make way mem httptcovoeqsepqh
neutral,rt wmcactionnews new airline expect make way mem httptcopeefzwzc
positive,well thankfully theyve get nice food court herewhen update post
neutral,rt jetblue fleet fleek httptcoirixaifjjx
neutral,bucketobolts
negative,fleet fleek httptcoimrhivyr plz stop
neutral,fleet fleek httptcotnkixxrxhb facewithtearsofjoy facewithtearsofjoy
neutral,ceo challenge appease passenger wall street columbian httptcopgysasw
neutral,weepysweetmonty hear youre planning let people fly overhead compartment would
